Lens ID,concatenated_column,precision
197-640-293-539-640,"Method and apparatus for sampling organic compounds in water The subject invention is directed to an apparatus for removing organic compounds from water which comprises: a housing having an opening therein, the housing being capable of retaining an organic solvent therein; and a nonporous membrane covering the opening, the membrane being capable of allowing organic compounds from the water to diffuse therethrough. The subject invention also provides method of removing organic compounds from water and a method for detecting the presence or determining the amount of organic compounds in the water.",
171-439-194-180-400,"Data transmission system for pipelines In a data transmission system for a pipeline which is electrically conductive at least in sections, the pipeline itself forms a data line. For this purpose, a coupling element is present for the modulation of electrical signals onto a potential of the pipeline. A cost-effective data transmission system is created which can be used in remote regions.",
055-614-222-853-458,"Fresh water generator Disclosed is a fresh water generator for fresh water production, which is effective to prevent a membrane life from becoming worse by suppressing the load on the membrane of a second semi-permeable membrane treatment facility when the concentrated water produced by the treatment of a first semi-permeable membrane treatment facility, and water to be treated with different osmotic pressure there from are mixed and treated with the second semi-permeable membrane treatment facility by the fresh water generator which comprises a means for storing the concentrated water produced from the first semi-permeable membrane treatment facility and water (B) to be treated, which is separately supplied in a storage tank A and a storage tank B in such a manner that the flow rate (mixture ratio) of the concentrated water to the water (B) to be treated is maintained constant, and supplying the concentrated water and the water (B) to be treated from each of the storage tanks to the second semi-permeable membrane treatment facility at a predetermined flow rate in at least a treatment process for treating water (A) to be treated with the first semi-permeable membrane treatment facility so as to obtain fresh water.",
172-480-072-475-850,"Photovoltaic evaporation and distillation system for the recycling of greywater to potable water A photovoltaic evaporation and distillation system for the recycling of wastewater to potable water is disclosed herein. The system is comprised of six components that work in conjunction to produce both a source of reusable water for indoor appliances that produce greywater (or irrigation use), and potable water.",
119-586-564-114-481,"Water softening and treatment system A system for the combined softening of water and reduction of dissolved solids from the water, which can be retrofitted to a conventional water softening apparatus, includes a pressure tank, an inlet line for conveying raw or hard water to the pressure tank, and an outlet line for conveying softened water from the tank. Treatment material is located within the pressure tank for softening the water within the tank. At least one semi-permeable reverse osmosis membrane element is embedded within the treatment material for filtering the softened water within the pressure tank. A collection conduit and holding tank communicates with the membrane element and conveys filtered water from the pressure tank and stores the water.",
098-456-430-470-717,"Overflow valve prevention system A method of controlling overflow in a below-ground transfer pump sump used in the dispensing of liquid fuels. The method comprises providing a sump having a sump bottom below a level of ground immediately adjacent the sump, providing a storage tank having an internal cavity for the storage of liquid fuel, the storage tank having a conduit in communication with the sump and providing an overflow assembly having an inlet disposed within the sump and an outlet communicating with the conduit. The method includes permitting water from the ground adjacent the sump to enter the sump and mix with any liquid fuel in the sump and if the liquid fuel and water mixture in the sump reaches a predetermined level, allowing the liquid mixture to pass through the overflow assembly, into the conduit and into the storage tank containing the liquid fuel.",
115-577-607-885-850,"System and method for storing water in an underground reservoir and managing the same An underground water storage system is installed with directional drilling techniques to dispose water conveying conduits within an aquifer. By conducting a pre-installation investigation of the aquifer, the conduits may be placed within the aquifer to increase the flow efficiency into the aquifer, such as orienting the position of the conduits to coincide with the orientation of the aquifer. The invention may have a system for preventing water invasion into the near surface soil layers, thereby preventing water instrusion which may be detrimental to desired surface uses for the land, such as agricultural, recreational, residential or commercial uses.",
192-726-645-780-012,"Method for improved water well production A non-destructive method for stimulating, refurbishing, or otherwise increasing production from water wells, using pressure waveforms and mass displacement within the well bore volume. The non-destructive methods are useful in a variety of water production contexts and can be modified downhole to meet specific performance requirements.",
174-466-751-327-798,"Water treatment process A method for removing selected biodegradable materials from a body of water. In the first step of this method, a plurality of bio-suspension elements are disposed within an enclosure which is floating at least partially submerged in a body of water; the bio-suspension elements provide surfaces for supporting the growth of at least five different biological microorganisms. The different biological microorganisms are intermittently introduced into the enclosure along with water; the water is continuously aerated and fed into the enclosure at a rate of at least about 60 feet per minute. The treated water so produced is continuously removing from the enclosure at a rate of at least about 60 feet per minute. The pH, the total dissolved solids, the temperature, and the flow rate of the treated water is continuously measured.",
121-601-404-287-185,"Sewerage flow diverter A sewerage flow diverter to direct relatively low volumetric liquid flow of sewerage from a large combined storm water and sewage drain to a sanitary interceptor and to direct relative high volumetric liquid flow of combined storm water and sewerage to bypass the connection to the sanitary interceptor. The diverter comprises a hollow weir positioned in the bottom of the large combined storm water and sewerage drain having a small inlet pipe from the large drain and an outlet pipe to the large drain. An opening or orifice in the hollow weir opens downwardly to an interconnect pipe to the sanitary interceptor. At low flow rates the liquid is primarily sewerage in the bottom of the large drain which possesses relatively low kinetic energy as it enters the inlet pipe in the weir. Within the weir the liquid drops through the opening and passes on to the sanitary interceptor. With increasing volumetric liquid flow in the large combined storm water and sewerage drain, the kinetic energy of the liquid entering the inlet pipe increases thereby causing increasing amounts of liquid to ""leap"" across the opening and pass through the outlet pipe back into the large drain. The diverter contains no moving parts and can be constructed as a single cast concrete unit for convenient installation. Existing underground mechanically operated diverters can be easily rebuilt to eliminate the mechanical gates and valves and substitute a form of the new diverter.",
112-871-361-324-516,"Apparatus and method for biological purification of waste An apparatus is disclosed for containing a microorganism culture in an active exponential growth and delivering a supply of microorganisms to an environment containing wastes for bio-augmenting the biodegradation of the wastes. The apparatus comprises a bioreactor and an operably connected controller. The bioreactor has a bioreactor chamber for containing a supply of microorganisms, a second chamber for containing a supply of water and inorganic nutrients, and a third chamber for containing a supply of organic nutrients. The bioreactor is operably connected to the controller in which a first pump is operably connected in fluid communication between the bioreactor chamber and the second chamber and third chamber, and a second pump is operably connected in fluid communication between the bioreactor chamber and the environment containing wastes to be biodegraded. The controller further includes a timer and regulator operably connected to the first and second pumps to effectively maintain the microorganisms in exponential growth in the bioreactor chamber and to deliver microorganisms to an environment to be treated. Also, disclosed is a method for bio-augmenting the biodegradation of wastes.",
115-654-564-347-839,"Method for leakage detection of underground pipeline corridor based on dynamic infrared thermal image processing A method for leakage detection of underground pipeline corridor based on dynamic infrared thermal image processing. The leakage can be detected by the following steps, including: converting infrared thermal videos into infrared thermal images; obtaining the gray scale information and temperature information of internal environment of the underground pipeline corridor. The gray scale information can realize the conventional target of pipe line state identification inside the pipeline corridor, and the temperature information can be used to detect the pipe leakage.",
033-655-018-487-860,Processes for conditioning soil with anionic water-soluble polymers Compositions of precipitated anionic polymers containing mixtures of cationic organic salts and kosmotropic salts as well as processes for making and using the same to condition soil are disclosed.,
010-142-079-254-990,"Environmentally safe method for the removal of residual water soluble polymers from aqueous waste streams An environmentally safe method is provided for the removal and disposal of residual water soluble polymers, particularly polyethers, from aqueous waste streams, wherein a pretreated inert inorganic substrate is contacted with the waste stream and the polymer contained therein adsorbed onto the substrate. Thereafter, the polymers are removed from the substrate as CO.sub.2 and water by combustion and the substrate subjected to regenerative conditions for recycling.",
060-516-636-493-60X,"System and method for maintaining water quality in large water bodies The present application relates to an innovative and optimized method and system for maintaining water quality in water bodies such as excavated inland structures and floating structures with bottoms comprising flexible membranes, using a simplified economic filtration system and degreasing system that requires much smaller filtration equipment than conventional centralized filtration systems and provides for consumption of significantly lower amounts of energy. The method of the invention allows activating a chemical application system, mobile suctioning device, and/or degreasing system based on information regarding turbidity, the color of the bottom of the water body, and amount of greases on the surface water layer of the water body, to adjust the water quality parameters within their limits.",
142-247-737-879-317,"Method of and apparatus for decomposing wastes A method of decomposing wastes containing target compounds having one or more of hydrolyzable bonds of ether bond, ester bond, amide bond and isocyanate bond wherein the method comprises continuously supplying the wastes in a molten state or liquid state to a reactor, continuously supplying super-critical water or high pressure/high temperature water to the reactor, bringing the water into contact with the wastes, thereby decomposing the target compounds and then recovering them as raw material compounds or derivatives thereof for the target compounds. Target compounds contained in wastes in chemical plants which could not be utilized but merely incinerated or discarded so far are continuously decomposed into raw material compounds or derivatives thereof for the aimed compound and can be reutilized effectively.",
043-211-132-460-704,"Method of operating reverse osmosis membrane apparatus To enable energy-saving operation and stable supply of permeate water while water quality level of the permeate water is satisfied during operation, clarified seawater sw subjected to pretreatment and stored in to-be-treated water tank 12 is supplied to reverse osmosis membrane module 14 via clarified seawater supply passage 16. Permeate water pw obtained by an earlier stage element of the reverse osmosis membrane elements 36 of the reverse osmosis membrane module 14 is sent to a subsequent process from permeate water sending passage 46, and permeate water pw obtained by the reverse osmosis membrane element 36 is circulated into the to-be-treated water tank 12 via permeate water circulation passage 48. The flow rate of the clarified seawater sw supplied to the reverse osmosis membrane module 14 is controlled by variable flow rate high-pressure pump 22 provided in the clarified seawater supply passage 16, and opening degree of flow regulating valve 68 provided in the permeate water circulation passage 48 is controlled, whereby the circulation flow rate of the permeate water is controlled.",
111-860-717-551-307,"Flow sensor and system incorporating the same for monitoring steam turbine drain valves A flow sensor includes a strap-on heater attached to a fluid conduit downstream of a drain valve and two differential temperature measuring thermocouples attached to the fluid conduit downstream of the heater. A monitoring system employing at least one of the flow sensors further includes a controller which receives the differential temperature signal produced by the two thermocouples, a signal indicative of a selected valve position, and a signal indicative of steam turbine operating condition, i.e., hot or cold. The controller includes a logic circuit for correlating the differential temperature value signal, the valve position signal and the steam turbine condition signal to a diagnosis of the drain valve condition.",
006-055-546-633-413,A method and a system for leak protection of a supply water installation ,
124-058-864-273-013,System for straining water A water straining system for use in a flushing arrangement for a water delivery system. The flushing arrangement is connected to a main line of the water delivery system and includes a discharge valve controlled by an automatic valve control unit. A filter is positioned in the pipeline of the flushing arrangement between the main line and the automatic valve control. The filter acts to prevent debris in the main line from entering the discharge valve where it could become stuck preventing closure of the discharge valve.,
085-733-047-467-049,Control of odor and septicity of sewage This invention is a process for controlling odor and septicity of sewage. A sulfur dioxide species is added to the sewage among with metal ion catalyst and the sewage is aerated. The effect of this treatment is to reduce the generation of hydrogen sulfide and the odor and corrosion associated with this compound and to reduce the need for aeration in the treatment of sewage. This results in substantial savings in aeration costs.,
182-620-044-345-922,"Installation for generating superheated process steam from salt-containing raw water Installation for generating superheated steam from raw water containing salt using preheaters for heating the raw water. The last preheater, as seen in the flow direction of the raw water, is followed via a control valve by a decompression cylinder. Part of the raw water evaporates and the vapor is withdrawn from the dome of the decomposition cylinder by a compressor which compresses and heats it and discharges it as superheated steam.",
175-969-234-527-24X,"Wastewater treatment unit and method for treating wastewater The wastewater treatment unit is operable under high intermittent flow rate variations. It comprises a first clarifier in which is carried out a gravitational settling of solids and a second clarifier comprising a network of parallel plates inclined with respect to the vertical and a portion defining a collecting pit. Each plate has an upper edge positioned at a height lower than the filling level of the first clarifier to define an overflow giving access to the collecting pit. The network of plates allows to carry out a further settling of solids to create a counterflow of settled matter toward the first clarifier and a flow of clarified wastewater falling in the collecting pit. A filtering chamber is positioned above the first clarifier and comprises a filtering media supporting a biomass for digesting the organic content of the wastewater coming from the second clarifier. The filtering chamber has an inlet in fluid communication with one outlet of the second clarifier, and an outlet in fluid communication with an inlet of the first clarifier for recirculation purposes. The unit also comprises a third clarifier for further treating wastewater coming from an other outlet of the second clarifier. An outflow controller located at the outlet of the third clarifier and an air lift pump for conveying the wastewater from the second clarifier into the filtering chamber and for providing oxygen into the unit are also provided. The wastewater treatment unit is capable of handling efficaciously effluents from different sources including those from family homes.",
098-045-579-133-739,"Process for preventing contamination of the aquatic environment with organisms from ballast water A process for preventing the transfer of harmful organisms of zooplankton including the epifauna thereof and of phytoplankton including its resting stages, which are taken up with the ballast water of ships and transferred to another locality on discharge. The organisms are substantially destroyed by the addition of an agent containing a water-soluble percarboxylic acid with 1 to 6 carbon atoms, particularly an aqueous solution containing peracetic acid and/or performic acid and hydrogen peroxide, in a quantity of 0.1 to 200 mg of percarboxylic acid per liter of ballast water and allowing it to react before discharge. In a preferred embodiment, cyanide is also added to the ballast water.",
009-640-082-294-703,"System for offshore production of fuel A method and system for the offshore production of fuel includes an offshore marine platform on which is mounted an ammonia production unit. The ammonia production unit may produce ammonia utilizing raw materials sourced adjacent the marine platform, including seawater and electricity from offshore wind turbines. The produced ammonia may be subsequently liquified and transported away from the marine platform, or conveyed to a remote location via a seabed pipeline. A portion of the hydrogen produced as part of the ammonia production process may be utilized to operate onboard combustion turbines that can in turn drive electric generators onboard the marine platform to produce electricity.",
151-581-690-437-676,"Method of plain sedimentation and physical-chemical sedimentation of domestic or industrial waste water An untreated flow of waste water is normally introduced into a plain sedimentation unit during plain sedimentation periods to separate it into sand and a flow treated by plain sedimentation. During other periods, for example periods of heavy rain, a coagulating agent, ballast sand and a flocculating agent are introduced. The coagulated flow is passed into a maturation intermediate area and then, with substantially all the sand and colloids of particles attached to it, into the plain sedimentation unit. Here effluent is separated by plain sedimentation and evacuated and sludge made up of the sand and the adhering colloids and particles is extracted and evacuated via an extraction system and the sand outlet channel of the plain sedimentation unit. The sludge is collected, the ballast sand is separated from it to be recycled into the sand injection area and the sludge and excess sand are extracted.",
013-643-515-413-201,"Time optimization in a device utilizing water for a cleaning procedure The present inventive concept relates to a device (500) utilizing water for a group of cleaning procedures, wherein each cleaning procedure (100) in the group of cleaning procedures comprises a plurality of cleaning phases (102, 104, 106, 108) each using cleaning phase water having a substance content with respect to a number of substances, wherein the device (500) comprises a sensor arrangement (554) configured to determine a first substance content (110) with respect to at least one of the number of substances in first cleaning phase water from a first cleaning phase (102) being part of the plurality of cleaning phases (102, 104, 106, 108); wherein the device (500) is configured to end the first cleaning phase (102) if a pre-determined condition related to the first substance content (110) and associated with the first cleaning phase (102) has been met.",
071-353-807-927-552,"System and method for manufacturing a system for filtering and disinfecting drinking water A water filter system includes a water filter assembly and an enclosure. The water filter assembly has a housing with a water inlet and a water outlet, a filter portion within the housing, and a reservoir portion within the housing apart from the filter portion. A window in the housing conveys ultraviolet light into the reservoir from an external light source. A water channel conveys water from the inlet to the outlet through the filter and the reservoir portions. The enclosure removably receives the water filter assembly in a cavity within the enclosure. An enclosure water inlet mates with the filter water inlet, and an enclosure water outlet mates with the filter water outlet. A light source within the enclosure is arranged to direct light into the reservoir portion.",
028-203-638-340-634,"Methods of making a hollow fiber membrane element adapted for use in water treatment and osmotic processes A method of making a membrane element adapted for use in water treatment and osmotic pressures, the method comprises providing a plurality of spacer structures having given dimension, placing one or more spacer structures on a hollow fiber (“HF”) assembly platform, extending rows of HFs with spaces having given width therebetween over the one or more spacer structures aligned with the longitudinal axis of the HF assembly platform, forming a membrane element comprising a stack of alternating rows of HFs and intervening spacer structures wherein each HF comprises a hydrophilic semipermeable membrane being adapted to achieve salt rejection of 98.5% or more and exhibiting a surface tension of 35 dynes/cm or more and the given dimensions, a first width and a second width are effective to maintain a Reynolds Number of 3000 or more and the stack maintaining a mechanical integrity at feed pumping pressure of 30 bars or higher.",
186-111-169-235-321,"RO installation for flushing solutions The RO installation for producing ultrapure water, preferably for medicinal flushing solutions, with a raw water supply conduit, which leads to a feed tank, from which a conduit with a pump leads to the primary side of an RO membrane, from where a concentrate circulation conduit leads back to the feed tank, and with a permeate feed conduit and a first permeate circulation conduit, which either extends to a permeate return conduit, which leads to the feed tank, or communicates via a further permeate circulation conduit with the secondary side of the RO membrane, and with a filtrate outlet conduit is characterized in that the primary circuit including the feed tank, the conduit, the primary side of the RO membrane and the concentrate circulation conduit and the secondary circuit including the secondary side of the RO membrane, the first permeate circulation conduit and the further permeate circulation conduit may be flowed through by a disinfecting and cleaning agent independently of one another, wherein a disinfecting agent conduit connected to a disinfecting agent container communicates with the first permeate circulation conduit and the disinfecting agent conduit is provided with a disinfecting agent pump and that the permeate return conduit includes a pressure holding valve with a bypass valve.",
183-392-741-871-551,"Device for oxygenating sea water A diffuser hose for oxygenation of water, in aquaculture installations for marine organisms in the sea. The hose ( 5 ) consists of a perforated hose ( 6 ), to which substantially pure oxygen is supplied, and at least one perforated hose for oxygen distribution ( 7 ), wherein the supply hose has fewer perforations/holes/pores than the distribution hose, thereby providing pressure equalization. Diffuser hoses herein provide for the formation of oxygen microbubbles with an oxygen partial pressure that is such that the oxygen passes into the water in the fish farm.",
071-518-750-787-968,"Wastewater treatment system The present invention is a system and method for treating a wastewater stream to produce an effluent having an acceptable level of turbidity. The invention comprises a controller operatively coupled to at least one turbidity meter for monitoring turbidity of the effluent stream. A plurality of chemical treatment additive pumps are provided for providing a plurality of additives to the wastewater stream. Furthermore, a method of sequentially testing the amount of each additive required to produce an effluent stream having an acceptable turbidity is disclosed.",
153-008-638-557-946,"Atmospheric water extraction system A water sorption device includes a catalytic combustor configured to, in a desorption state, combust a hydrocarbon fuel mixture to generate heat; a thermoelectric generator configured to, in the desorption state, generate electricity from a first portion of the heat from the catalytic combustor; and an adsorber configured to in an adsorption state, adsorb water from ambient air from an environment and in the desorption state, desorb the adsorbed water as vapor using a second portion of the heat from the catalytic combustor.",
095-142-195-791-439,"Method of removing phosphorus and/or nitrogen The present invention provides a method of treating wastewater containing phosphorus and/or nitrogen for removing phosphorus and/or nitrogen from the wastewater, including following steps of: (a) introducing wastewater containing phosphorus and/or nitrogen into a an anaerobic reactor, treating the introduced wastewater with anaerobic microorganisms, to produce biogas from organic matters in the wastewater, and then discharging the treated wastewater saturated with carbon dioxide under carbon dioxide partial pressure of 0.2 to 0.5 atm; and (b) injecting the treated wastewater of step (a) into a carbon dioxide stripping apparatus wherein the wastewater is free-fallen to expose the wastewater to ambient condition with carbon dioxide partial pressure of less than 0.001 atm so that carbon dioxide stripping takes place and increase in pH occurs without addition of alkaline substance, and then providing proper pH of 8.4 to 9.6 to form struvite.",
093-569-112-949-457,"Golf course irrigation water monitoring and treatment system The present invention is process for irrigation of a golf course, which involves monitoring reclaimed water, and treating it when necessary to avoid harmful effects to plantlife. The reclaimed water is tested with a plurality of monitors to obtain results for water quality characteristics, including: total organic carbon compounds; pH; residual chlorine; chlorides; and, sodium. These results are inputted to a computerized data handling system for data collection, storage and analysis for comparison to predetermined acceptable ranges for water quality characteristic, and to show any deviation from said acceptable ranges. Either alarms are set off or treatment occurs or both, when deviations are observed. Treatment includes a dechlorination system and an oxidation system to correct active chlorine and total organic compound levels, respectively. Other important monitors may be included for one or more of the following: hardness; turbidity; alkalinity; conductivity and nitrates.",
095-946-760-756-091,EVAPORATIVE AND REGENERATIVE WASTE WATER INCINERATION SYSTEM ,
170-252-050-516-546,"Wastewater trickling filter air recirculation process A wastewater treatment system and process utilizing a trickling filter with a rotary distributor extending thereover for the distribution of wastewater over the filtering medium. A sealed insulating dome overlays the filter to provide a closed environment. An underdrain system extends underneath the filtering medium covering the floor of the filter and includes perforated sections into which the applied wastewater flows. The perforated sections extend into an underdrain gallery which collects the applied wastewater to be recycled by the pump through the distributor or expended out of the filter. Controllable air recirculation system for selectively moving air under the dome through the filtering medium includes a blower in communication with the gallery which directs air through the gallery from under the dome, through discharge conduits and into the filtering medium. The direction of air flow is reversible and the introduction of atmospheric air is provided after passing through a controllable heater. The rate of introduction of atmospheric air is controllable in response to a decreased dissolved oxygen level in the filter effluent and a vent discharges existing air within the system.",
163-866-738-033-975,Odor reduction system for waste holding tanks An odor reducing assembly for use in a marine vessel or RV waste holding tank including an aeration tube and an aeration pump. The aeration tube is disposed in a bottom portion of the holding tank. The aeration tube may be provided by a separate aeration tube or may be incorporated into the macerator/discharge pump. The aeration pump is in fluid communication with the aeration tube and supplies pressurized air to the aeration tube during operation of the marine vessel or RV. The aeration tube is disposed in a bottom-most portion of the holding tank and is submerged in sewage. Pressurized air from the aeration pump is injected into the sewage via the aeration tube and creates an oxygen-enriched aerobic environment therein. Air from the holding tank is continuously vented to atmosphere during operation of the aeration pump via a vent in the tank.,
117-741-835-481-967,PROCESS AND INTEGRATED SYSTEM FOR CONTINUOUS MONITORING OF A PIPELINE WITH PRESSURIZED FLUID ,
017-604-615-391-357,"Device for container water filtering The invention relates to a water filtration with a process optimization method, which employ cartridges with conventional electrolytic cells that have electrolytic cells, modified with automated control systems for the purpose of manipulating, monitoring and performing maintenance strategies in a single device, either in mobile containers or in swimming pools, gutters, etc., in such a way that: the purification process of the liquid, preferably water, is increased, the speed of its processing is increased, a process that is conventionally performed manual way is automated; in addition to optimizing the materials used in the purification, the process minimizes the risks of infiltration of impurities in the organism by immersion in treated waters with high pollutant levels; finally the process decreases the formation of tartar in the containers.",
146-846-950-928-237,"Low-pressure, reversible airlift mixing system for use with a membrane aerated biofilm reactor The invention relates to the design of an enclosure for a membrane aeration module, which incorporates a reversible, low-pressure, air-lift pump to encourage a vertical water flow through and between the membranes in the module. These enclosed membrane modules are suitable for use in membrane aerated biofilm reactors, which are used to treat water or wastewater.",
007-684-188-901-163,"Condenser for water purification apparatus A distillation type of water purification system has a raw water inlet valve for admitting raw water continuously to a boiling tank at a rate greater than the rate at which raw water is converted to treated water. A drain valve located at the bottom of the boiling tank is energized by a raw water level sensing means whenever the raw water level reaches a predetermined level, to discharge water from the boiling tank. Treated water is stored in a storage tank having a pump for discharging treated water to the user upon demand. A single conductivity sensor in the storage tank controls the pump to allow it to operate only if the sensed conductivity is above a first predetermined value but not at or above a second predetermined value greater than the first value. An improved condenser has two sets of tubes, each set is arranged in a pair of planes oriented transverse the flow of cooling air with the tubes parallel. The internal cross-sectional area of one set is about twice that of the other. Steam and condensate flows serially through the larger diameter tubes and then through the smaller diameter tubes in a flow countercurrent to the cooling air stream.",
170-582-301-962-228,"Waste water treatment system and process An improved process and a system for waste water treatment are disclosed which are particularly suited for use in industrial plants (10) having existing drainage trench networks (108-128) through which normal plant effluents, component leakage and accidental spills ordinarily would be allowed to flow. The trench system is connected to a waste water treatment facility (FIG. 1) designed to remove impurities from the effluents and return acceptably clean water to the plant for reuse or discharge it to the environment. Because some plant effluents, component leaks and unexpected spillages can increase the concentration of impurities in the waste water to levels beyond the design limits of the waste water treatment system, a series of dams (138-144, 150-154, 162-176) are provided at locations throughout the trench network so that effluents having rather high ranges of concentration of impurities are held behind the dams. Effluents having relatively low ranges of concentration are directed into isolated trenches (108) or a pipe network (178, 180) located in the trenches, the pipes then being led through sealed apertures in the dams to discharge to the waste water treatment system. The highly concentrated effluents are periodically pumped (148, 192) from behind the dams and discharged to a portion (76-106) of the waste water treatment system in which their impurities are concentrated for disposal in solid form.",
