Lens ID,concatenated_column,precision
095-142-195-791-439,"Method of removing phosphorus and/or nitrogen The present invention provides a method of treating wastewater containing phosphorus and/or nitrogen for removing phosphorus and/or nitrogen from the wastewater, including following steps of: (a) introducing wastewater containing phosphorus and/or nitrogen into a an anaerobic reactor, treating the introduced wastewater with anaerobic microorganisms, to produce biogas from organic matters in the wastewater, and then discharging the treated wastewater saturated with carbon dioxide under carbon dioxide partial pressure of 0.2 to 0.5 atm; and (b) injecting the treated wastewater of step (a) into a carbon dioxide stripping apparatus wherein the wastewater is free-fallen to expose the wastewater to ambient condition with carbon dioxide partial pressure of less than 0.001 atm so that carbon dioxide stripping takes place and increase in pH occurs without addition of alkaline substance, and then providing proper pH of 8.4 to 9.6 to form struvite.",1
093-569-112-949-457,"Golf course irrigation water monitoring and treatment system The present invention is process for irrigation of a golf course, which involves monitoring reclaimed water, and treating it when necessary to avoid harmful effects to plantlife. The reclaimed water is tested with a plurality of monitors to obtain results for water quality characteristics, including: total organic carbon compounds; pH; residual chlorine; chlorides; and, sodium. These results are inputted to a computerized data handling system for data collection, storage and analysis for comparison to predetermined acceptable ranges for water quality characteristic, and to show any deviation from said acceptable ranges. Either alarms are set off or treatment occurs or both, when deviations are observed. Treatment includes a dechlorination system and an oxidation system to correct active chlorine and total organic compound levels, respectively. Other important monitors may be included for one or more of the following: hardness; turbidity; alkalinity; conductivity and nitrates.",0
095-946-760-756-091,EVAPORATIVE AND REGENERATIVE WASTE WATER INCINERATION SYSTEM,0
170-252-050-516-546,"Wastewater trickling filter air recirculation process A wastewater treatment system and process utilizing a trickling filter with a rotary distributor extending thereover for the distribution of wastewater over the filtering medium. A sealed insulating dome overlays the filter to provide a closed environment. An underdrain system extends underneath the filtering medium covering the floor of the filter and includes perforated sections into which the applied wastewater flows. The perforated sections extend into an underdrain gallery which collects the applied wastewater to be recycled by the pump through the distributor or expended out of the filter. Controllable air recirculation system for selectively moving air under the dome through the filtering medium includes a blower in communication with the gallery which directs air through the gallery from under the dome, through discharge conduits and into the filtering medium. The direction of air flow is reversible and the introduction of atmospheric air is provided after passing through a controllable heater. The rate of introduction of atmospheric air is controllable in response to a decreased dissolved oxygen level in the filter effluent and a vent discharges existing air within the system.",1
163-866-738-033-975,Odor reduction system for waste holding tanks An odor reducing assembly for use in a marine vessel or RV waste holding tank including an aeration tube and an aeration pump. The aeration tube is disposed in a bottom portion of the holding tank. The aeration tube may be provided by a separate aeration tube or may be incorporated into the macerator/discharge pump. The aeration pump is in fluid communication with the aeration tube and supplies pressurized air to the aeration tube during operation of the marine vessel or RV. The aeration tube is disposed in a bottom-most portion of the holding tank and is submerged in sewage. Pressurized air from the aeration pump is injected into the sewage via the aeration tube and creates an oxygen-enriched aerobic environment therein. Air from the holding tank is continuously vented to atmosphere during operation of the aeration pump via a vent in the tank.,0
117-741-835-481-967,PROCESS AND INTEGRATED SYSTEM FOR CONTINUOUS MONITORING OF A PIPELINE WITH PRESSURIZED FLUID,1
017-604-615-391-357,"Device for container water filtering The invention relates to a water filtration with a process optimization method, which employ cartridges with conventional electrolytic cells that have electrolytic cells, modified with automated control systems for the purpose of manipulating, monitoring and performing maintenance strategies in a single device, either in mobile containers or in swimming pools, gutters, etc., in such a way that: the purification process of the liquid, preferably water, is increased, the speed of its processing is increased, a process that is conventionally performed manual way is automated; in addition to optimizing the materials used in the purification, the process minimizes the risks of infiltration of impurities in the organism by immersion in treated waters with high pollutant levels; finally the process decreases the formation of tartar in the containers.",0
146-846-950-928-237,"Low-pressure, reversible airlift mixing system for use with a membrane aerated biofilm reactor The invention relates to the design of an enclosure for a membrane aeration module, which incorporates a reversible, low-pressure, air-lift pump to encourage a vertical water flow through and between the membranes in the module. These enclosed membrane modules are suitable for use in membrane aerated biofilm reactors, which are used to treat water or wastewater.",1
007-684-188-901-163,Condenser for water purification apparatus A distillation type of water purification system has a raw water inlet valve for admitting raw water continuously to a boiling tank at a rate greater than the rate at which raw water is converted to treated water. Treated water is stored in a storage tank having a pump for discharging treated water to the user upon demand. A single conductivity sensor in the storage tank controls the pump to allow it to operate only if the sensed conductivity is above a first predetermined value but not at or above a second predetermined value greater than the first value.,1
170-582-301-962-228,"Waste water treatment system and process An improved process and a system for waste water treatment are disclosed which are particularly suited for use in industrial plants having existing drainage trench networks through which normal plant effluents, component leakage and accidental spills ordinarily would be allowed to flow. The trench system is connected to a waste water treatment facility designed to remove impurities from the effluents and return acceptably clean water to the plant for reuse or discharge it to the environment.",1
067-848-790-665-364,"Waste water treatment process for animal processing contaminant removal A process and system for removing animal processing contaminants and fats, oils, and greases from large volume quantities of waste water using chemical treatment and microfiltration membranes.",1
032-189-790-220-238,"Biological treating systems Biological treating systems include a treating tank for receiving wastewater to be treated, and a wastewater contacting unit mounted for reciprocating movement into and out of wastewater retained within the tank to support biological treatment.",1
015-636-543-763-214,"Water treatment in at least one membrane filtration unit for enhanced hydrocarbon recovery A water treatment method includes withdrawing water from the environment, filtering the withdrawn water in a membrane filtration unit, extracting hydrocarbons and collecting production water.",0
074-338-531-545-484,"Water supply system and multifunctional water supply tank The invention discloses a multifunctional water supply tank with pressure-stabilized water storage and quality-distinguished supply of service and potable water, solving problems of insufficient water pressure of tap water pipe networks and secondary contamination during water supply.",1
104-641-023-170-661,Inhibition of scale on saline water heat exchange surfaces with iminodiacetic acid compounds A method for decreasing fouling of metalliferous surfaces of apparatus wherein water is evaporated from an aqueous system containing components which deposit onto surfaces.,0
061-522-093-980-192,"Nutrient and particle removal: method and apparatus for treatment of existing lakes, ponds and water bodies A method and apparatus for capturing descending particle matter and chemical precipitate from water bodies to restore water quality.",1
099-361-111-465-640,Method of and device for purging water from certain contaminants A method to remove contaminants such as hydrocarbons and phenols from water using evaporation and separation in a vessel.,1
083-278-948-475-906,Liquid treatment process with in-plant pressure monitoring of submerged diffusers The disclosure relates to obtaining dynamic wet pressure in a wastewater treatment plant using submerged diffusers and pressure monitoring.,1
060-703-604-803-814,Filter backwash control system for a water or wastewater treatment system to conserve water during the filter backwash process A control system monitors filter level and turbidity data to control backwash operations.,1
181-740-253-099-465,Water relief valve for a drainage system A water relief valve for a drainage system includes a buried pipe section connected to a gutter system for dispersing runoff water away from structures.,1
035-429-007-614-518,"Apparatus and method for establishing and growing vegetation in arid environments A method for cultivating vegetation using water purification from urine, water distribution systems, reservoirs and solar stills.",0
160-563-007-503-198,"Decontamination of sites where organic compound contaminants endanger the water supply A method and system for decontaminating water, e.g., groundwater or process effluent, contaminated by dissolved volatile organic compounds using air stripping and catalytic oxidation. The system is for decontaminating water and releasing treated water substantially free of contaminants.",1
136-252-968-204-260,Method and system for controlling slugging in a fluid processing system A method and system are provided for reducing slugging in a fluid processing system including a pipeline for conveying produced fluids and a vessel receiving produced fluids. Control valves and sensors regulate the system.,1
149-846-894-321-287,"Apparatus for sterilizing liquids The invention relates to an apparatus for sterilizing liquids by means of ultraviolet rays, using a UV lamp and cooling airflow. The liquid flows through a pipeline surrounding the lamp.",1
092-293-100-017-483,"Self-contained pressurized water delivery system An improved self-contained pressurized water system for use in remote areas, vehicles, or whenever conventional sources of potable water are not readily available including pressure detection and recirculation of stored water.",1
000-317-743-280-601,"Control process for wastewater treatment system Process steps for monitoring the performance of a wastewater treatment system having filtration units and disinfection units, controlling filtration operation and maintenance based on water quality monitoring.",1
083-978-052-596-307,"Supervisory unit washing facility A facility used for sanitation, cosmetics, and private or industrial cleaning includes a water supply, outlet unit, consumable unit and control unit.",0
167-108-406-571-008,Method and apparatus for converting chemical energy stored in wastewater A method and apparatus for harvesting electricity from microbial biofilm in wastewater.,1
140-523-205-616-079,"Method and plant for desalinating salt-containing water Salt-containing water is desalinated using solar-heated brine, evaporation and condensation to obtain desalinated water.",1
172-871-247-936-822,"Rain water vessel A rain water vessel includes a water inlet, main tank, dump tank and diverter valve for collecting rain water.",1
032-780-444-485-450,Water separation from particulate materials A process for removing water from particulate material slurries produced by drilling and dredging. Removed water may be reused for drilling and drinking.,0
134-439-269-437-759,Raw sewage disposal apparatus A raw sewage disposal apparatus for evaporating and drying raw sewage by heating. Sewage is treated by evaporation and disposal.,0
047-199-136-157-979,"Assembling module for sanitary plumbing and method for manufacturing same An assembling module for sanitary plumbing of a building with conduit portions, shut-off devices and meter bases.",0
096-382-428-085-332,"Method for the production and use of ultrapure water and apparatus therefor Ultrapure water is produced using deionization, sterilization, activated carbon, ion exchange and membrane treatment.",1
073-301-586-214-660,Control system for meter actuated regeneration in a water treatment system A control system for regeneration of a water treatment system using a water meter and treatment capacity monitoring.,1
127-591-699-265-97X,System and method for encoding pipeline welds Systems and methods for labeling and identifying structural features such as weld joints in pipelines using imaging.,1
138-260-001-644-568,High output solar water distillation system A solar fluid distillation system for distilling fluids such as water using evaporation and condensation chambers.,1
169-940-931-027-340,Decoupling tidal effects from water depth measurements in stormwater drainage systems A drainage monitoring system using sensors to model tidal backflow effects in stormwater drainage systems.,1
002-142-065-939-42X,"Method and apparatus for abstracting water from air A system for extracting water from atmospheric air through hygroscopic media, condensation and solar heating.",1
140-649-281-825-669,Purified water manufacturing device monitoring system and purified water manufacturing device monitoring method A monitoring system detects microorganisms and particles in purified water production.,1
029-598-484-361-592,"Vacuum sewage system with monitoring system and method of use A vacuum sewage collection system including collection stations, vacuum pumps, sewage pumps, sensors and sewage pipe networks.",1
051-834-059-955-671,"Method and apparatus for cleaning large pipes, such as storm drain conduits A system for cleaning sediment from storm drain conduits using high-volume water flow and reuse of cleaning water.",1
161-191-526-183-669,Fluid flow modifier and fluid treatment system incorporating same A fluid flow modifier used between a water supply line and ultraviolet drinking water treatment device.,1
029-484-381-826-179,Systems and methods for controlling evaporative fluid loss A system for reducing evaporative cooling water losses in cooling towers using electromagnetic fields applied around conduits.,1
002-871-770-462-612,Water valve manipulation device A device for manipulating valves on buried water lines and water mains.,1
094-570-130-016-620,"System for treating residual water Improvements on a system for treating residual water including reactor, deep chamber and anaerobic pond.",1
098-692-218-775-251,Automatic back water valve system A valve system installed in water supply or sewage drain lines to prevent sewage backup.,1
194-884-962-222-379,Pipe connection structure and vacuum-type sewage collecting apparatus incorporating the pipe connection structure A vacuum sewage pipe network collecting sewage from multiple houses or facilities.,1
026-774-418-279-655,Method and device for desalting water A reverse osmosis desalination method for seawater using pressure compensation and membrane modules.,1
095-096-764-179-561,"Water delivery apparatus A potable water delivery system including manifolds, valves, pumps and pressure control components.",1
073-469-102-193-170,The management of water in recirculatory water systems A system for management of water in recirculatory water systems.,1
101-274-005-300-177,"Apparatus for porting a side wall of a conduit from interiorly thereof An apparatus for forming ports in conduit liners using a carriage, tool and camera system.",0
181-028-786-165-438,"Wastewater evaporating treatment and disposal system A system that treats wastewater through heating, destroying microbes and evaporating wastewater without discharge.",0
137-604-190-987-913,"Externally adjustable flow management valve assembly and system A system and valve assembly that is adapted to increase the efficiency of an upstream water meter. By way of the valve assembly entrained water bubbles can be removed from a water supply. This, in turn, increases the density of the water running through the water meter. This ensures that the water meter is not inaccurately including entrained air as metered water. The result is more accurate water readings and reduced utility bills. The assembly can be externally adjusted using an adjustment tool so as to increase or decrease the tension on an interior spring which, in turn, increases or decreases the rate at which the interior block oscillates.",1
108-381-426-133-926,"Water treatment system, apparatus and method The invention relates to a water treatment apparatus, method and system for use in the treatment of an open or closed body of water including water in a vessel, pipe, reservoir, river, chamber, lake or similar bodies of water, the water being retained in a water containment means being referenced or tied to ground potential, the apparatus including an energisable material defined as an active electrode being configured and arranged for placement in the body of water, the active electrode being adapted to be energised or electrostatically charged with a negative electrostatic voltage charge from a power supply means, in use, to induce and set up an electrostatic field in the water causing contaminants in the water effected by the induced charge to bond and be removed from the water.",1
080-809-108-301-381,"Drinking water purification machine having upstream reservoir, reverse osmosis filter and purified water storage tank The present invention relates to a desktop drinking water machine and includes a reverse osmosis mechanism consisting of a reverse osmosis filter and a pair of active carbon filters. The reverse osmosis mechanism is linked to a pump through an inlet pipe, a pure water pipe connected to a reservoir and an outlet pipe connected to the original reservoir where both pipes link the original reservoir to the pump. A water level sensor in the reservoir is linked with the pump through a processor to control a water pumping operation. When the water level rises above the water level sensor, the pump is initiated and delivers water from the reservoir into the reverse osmosis mechanism. Pure water then flows into the storage tank and waste water flows to the reservoir. When the volume of the water in the reservoir is approximately one-third of the volume of the original water maintained in the reservoir, the pump is deactivated. At this time, the purified water contained in the storage tank approximates two-thirds of the volume of the water in the reservoir which provides for an increased purifying rate.",1
138-450-491-653-316,"Water soluble complexing agent for metallic cations A water-soluble complexing agent of metallic cations having a high complexing power and a high threshhold effect, constituted from acrylic copolymers, characterized by the fact that said agent is formed by terpolymers comprising acrylic and methacrylic and itaconic units of the general formula: <IMAGE> in which the indices, expressed in percent by weight have at least a value of 10 for x and y, and a value of 5 for z.",0
089-015-785-356-577,"Manhole A manhole for connecting fluid flow between and for providing access to an inlet pipe and an outlet pipe angularly oriented to one another in a sewage, storm water or like fluid handling system. The manhole comprises an upright housing which defines a manhole interior, the housing having first and second essentially planar upstanding outer sidewalls angularly oriented to one another at substantially the same angle as between the inlet and outlet pipes and a curved upstanding outer side wall extending between the first and second planar sidewalls. First and second openings are formed respectively through the first and second planar sidewalls into the manhole interior for receiving respective ends of the inlet and outlet pipes. A base section within the manhole interior defines a curvilinear fluid flow trough between the first and second openings for conveying fluid flow from the inlet pipe to the outlet pipe.",1
108-450-619-460-663,"Process and device for improving the treatment of sewage solids Treatment of sewage solids, sand, rubbish and the like, especially for the dumping and/or incineration with a reduced pollutant and moisture content, or similar disposal with the mechanical separation of the solids from a solid-liquid mixture, in which, to obtain the best possible dumping and incineration properties according to moisture and pollutant content, there is a vortex device with the aid of which organic substances adhering to the solids are dissolved and removed with the liquid, preferably to a further biological waste water treatment system, where the treatment of dirty waste water is concerned; in a similar manner, sand, rubbish and similar substances are treated even if they do not form part of waste water.",0
085-258-181-175-389,"Protective device and method of use for a lift station water level sensor A protective device for a wastewater sensor of a wastewater lift station is characterized by a protector that is sealed against wastewater intrusion at an upper end and open at a tapered lower end, with the protector disposed about at least a portion of a wastewater level sensor assembly. The protector is retained vertically within the lift station such that the bottom opening is proximate a bottom of the lift station. The protector may be incorporated into a wastewater level sensor assembly for a wastewater lift station utilizing, for example, a float-type water level sensor, a multiple discrete electrode-type water level sensor, or a transducer-type water level sensor.",1
026-318-837-950-061,Air scrubber system with pipe assembly for in-line mixing to create an oxidation reduction potential (ORP) in water An air scrubber system including a system for creating an oxidation reduction potential (ORP) in water is disclosed. The system includes a pipe assembly for in-line mixing. The pipe assembly includes a first flow path for water to flow through. The first flow path includes one or more ozone intake ports that are fluidically coupled to one or more ozone output ports of an ozone supply unit. The pipe assembly further includes a second flow path fluidically coupled in parallel with the first flow path. The second flow path includes a control valve that selectively permits a portion of the water to flow through the second flow path to produce a negative pressure in the first flow path so that ozone is drawn into the first flow path through the one or more ozone intake ports and mixed into the water flowing through the first flow path.,1
100-868-834-839-956,"Process for the oxidation of materials in water at supercritical temperatures utilizing reaction rate enhancers Disclosed is a method of substantially completely oxidizing material in an aqueous phase at supercritical temperatures and sub- or supercritical pressures by initiating the oxidation in the presence of small amounts of strong oxidizing agents that function to increase the initial reaction rate for the oxidation. The strong oxidizing agents suitable for use in the present invention comprise at least one selected from the group consisting of ozone (O3), hydrogen peroxide (H2O2), salts containing persulfate (S2O82-), salts containing permanganate (MnO4-), nitric acid (HNO3), salts containing nitrate (NO3-), oxyacids of chlorine and their corresponding salts, hypochlorous acid (HOCl), salts containing hypochlorite (OCl-), chlorous acid (HOClO), salts containing chlorite (ClO2-), chloric acid (HOClO2), salts containing chlorate (ClO3), perchloric acid (HOClO3), and salts containing perchlorate (ClO4-).",0
049-298-611-042-668,"Water treatment system and method A water treatment system provides treated water to a point of use by removing at least a portion of any hardness-causing species contained in water from a water source, such as municipal water, well water, brackish water and water containing foulants. The water treatment system typically receives water from the water source or a point of entry and purifies the water containing at least some undesirable species before delivering the treated water to a point of use. The water treatment system has a pressurized reservoir system in line with an electrochemical device such as an electrodeionization device. The water treatment system can have a controller for adjusting or regulating at least one operating parameter of the treatment system or a component of the water treatment system. The electrochemical device can be operated at a low current and low flow rate to minimize water splitting or polarization, which minimizes scale formation.",1
039-056-151-555-678,Water meter system and method A water meter system and method may provide inline flow monitoring and leak detection that may track real-time water usage. The water meter system and method may utilize one or more dual pressure sensors and/or ultrasonic sensors to detect leaks quickly and automatically turn off a valve. A spool may be utilized that may provide the dual pressure sensors on opposite sides of a ball valve to separate upstream and downstream pressure zones when the valve is closed.,1
096-270-361-611-134,"Assembly and system for isolation of waste water in outdoor, open-air wash station A system and method for the collection of waste water generated in the course of maintenance or washing of a large object in an open-air, outdoor environment. The system, in its simplest form, includes a wash deck having a drain located within a valley of the deck, an interceptor drain for separation of particulates and sludge from the wash fluid, an actuator, that is responsive to changes in hydraulic pressure of wash water supply, for opening and closing a waste stream control valve and a waste steam control valve intermediate between the interceptor drain and a sanitary sewer connection. The system of this invention operates independent of elaborate controls and any external power source. Thus, it can be used in relatively remote locations and/or installed in areas where electricity is unavailable, or the presence of electrical current would be incompatible with safety of livestock or thoroughbred race horse.",1
150-172-721-790-832,Water treatment Exemplary systems and methods relating to water treatment are described. One implementation filters water through a moving bed media filter sufficient to decrease the water's turbidity. This implementation simultaneously disinfects the filtered water and at least a portion of the moving bed media filter with ultra violet (UV) energy.,1
173-508-580-230-727,"Reaction chamber for supercritical water oxidation reactor Fuel mixed in water is combusted in a reactor having an internal operating pressure and temperature greater than 3200 psi and greater than 374° C., where the combustion of the fuel is exothermic. Air and fuel are pressurized for introduction into the reactor to a pressure greater than the internal operating pressure using energy generated from the combustion of the fuel, and the pressurized air and the pressurized fuel are injected into the reactor. Pressurized water from the reactor is injected into a drive water column that is partially filled with water to increase a pressure of the drive water column, and water at a temperature less than 100° C. is injected into the reactor to replace water from the reactor that is injected into the drive water column. Pressurized water from the drive water column is used to drive a hydroelectric drive system to produce electrical power.",1
060-341-700-868-663,Leaching system conduit with sub-arch A conduit for dispersing or gathering liquids in the earth has an arch shape cross section and alternating peak and valley corrugations along its length. At one end of the conduit is a sub-arch for receiving a pipe. In one embodiment there is a discontinuous valley by the sub-arch and a continuous web on the peak corrugation near the sub-arch in combination with cantilevered legs. In another embodiment the web is discontinuous while the valley is continuous in the region of the sub-arch. Both essential constructions provide a strong joint when conduits are mated to each other and are buried in the earth and subjected to a load.,1
001-019-649-533-052,Process and system for treatment of pig and swine manure for environmental enhancement A low cost efficient method and system for treating animal waste and in particular pig and swine solid and liquid manure to allow removable of undesirable odors and return of sludge and liquid safely to the environment to eliminate or reduce pollution. The method and system include collecting the manure into a central tank and using a continuous process to compress the manure to separate liquid from the solid sludge and transferring the separated liquid to a separate holding tank. The dried out sludge is collected as a residual and can be safely returned to the environment. Calcium carbonate may be added to the residual sludge to reduce odor. A polymer may be added to the pressing stage of the sludge to enhance liquid sludge separation. The separated liquid is then treated with a pressure filter membrane to remove undesirable elements from the liquid after which is filtered and is returned safely to the environment either to a natural stream to a sewage system or for agricultural uses.,0
058-129-246-152-090,"Energy conversion method with water recovery A mechanical energy conversion method and system for the restoration of dissipated heat energy, contained in natural or artificial water bodies at or near ambient temperatures, to industrial process heat, mainly in the form of steam up to 200 DEG -400 DEG C. The sensible heat contained in a water body is concentrated as latent heat in low pressure water vapor which is thermo-compressed by steam ejection to an intermediate pressure level, wherefrom mechanical compression takes over, generating highly superheated output steam. The ejecting steam is not generated in a boiler, but is continuously regenerated by the compressor and routed back for repeated ejection. The compressor is driven by a heat engine whose reject heat is collected and upgraded as well. The output of heat energy is essentially equal to the sum of the heating value of the fuel consumed and the intake of latent heat and amounts thus to substantially more than the heating value of the fuel alone.",1
123-483-210-475-071,"Composition and improved PH driven method for wastewater separation using an amphoteric dicarboxylate and a cationic destabilizer composition Improved separation of emulsified hydrophobic organic soils can be obtained from aqueous effluents using an amphoteric dicarboxylate surfactant material in combination with cationic destabilizer or floeculent materials. Such a treatment in combination with an acidic pH adjustment causes the rapid separation of hydrophobic organic soils from the aqueous stream, the treated aqueous stream is environmentally compatible. Improved laundry detergents comprising an organic amphoteric carboxylate surfactant and selected nonionic surfactants provide both cleaning for fiber and fabric containing items soiled with substantial quantities of hydrophobic soil. The pH of an effluent generated in such cleaning processes can be adjusted to an acid pH and treated with a cationic material causing a break that permits rapid and substantially complete separation of the hydrophobic organic soils from the effluent water. Residual concentrations of organic soil in effluent water can be less than 250 ppm and can be as low as 10 ppm.",1
172-770-426-132-069,"Water supply system An apparatus for supplying both hot water and distilled water includes a water distillation unit having a steam generator, a condenser connected with the steam generator for converting steam into distilled water and a holding tank for receiving distilled water from the condenser. The condenser is in heat transfer relation to the interior of a water heater tank. Water level monitors are provided for monitoring the level of water in the steam generator and the holding tank and temperature sensors sense the temperature of water in the steam generator and water heater tank. When the level of water in the holding tank is above a predetermined value, the steam generator is de-energized and feed water is admitted to the steam generator to dilute the contents to a safe temperature before the contents are discharged to drain. The steam generator may be energized in response to the temperature sensor in the water heater tank indicating a demand for hot water or the holding tank level monitor indicating a demand for distilled water. If the demand for distilled water increases the temperature in the water heater tank above a predetermined value, excess hot water is discharged to drain. If the demand for hot water causes the production of distilled water to exceed the capacity of the holding tank, the excess is discharged. The steam generator may alternately be controlled only on the basis of the level of distilled water in the holding tank. First and second auxiliary heaters are provided and are energized, respectively, when the temperature of water in the water heater tank is below a first predetermined temperature value provided that the steam generator is not energized and when the temperature of water in the water heater tank is below a second predetermined temperature regardless of the status of the holding tank.",1
147-856-452-971-078,"Water treatment system ultraviolet bulb voltage monitor circuit The specification discloses a circuit for monitoring the status of an ultraviolet (UV) light bulb in a water treatment system. The circuit uses either transformers or zener diodes with opto-isolators to monitor the voltage across the bulb. A logic signal is emitted when abnormally high voltage is detected, for example, indicating that the bulb is burned out, broken, or missing. A logic signal also is emitted when abnormally low voltage is detected, for example, indicating that the starter circuit is short circuited or that power is interrupted.",1
174-351-320-687-409,"Remote submerged chain conveyor A remote submerged chain conveyor system separates particles from a coal ash/water slurry from remotely located boiler units. A tank forms an ash holding section, a dewatering section, and an ash settling section. The ash holding section receives the slurry with first and second opposite ends. The dewatering section dewaters the slurry. The settling zone is an elongated trough connected with the ash holding section at one end with a discharge drain trough at near an opposite end. The tank sections are in a generally linear arrangement. A drag chain moves along the ash settling conveying the particles settling from the slurry to the dewatering section opposite to a net flow of water. A flocculant supply line upstream of the ash settling section configured for adding a flocculant promoting an agglomeration of particles into flocs. The flocculant supply line is located in a mixing section with an agitator.",1
192-016-339-699-519,"Method and apparatus for extracting water PCT No. PCT/DE94/01186 Sec. 371 Date Mar. 22, 1996 Sec. 102(e) Date Mar. 22, 1996 PCT Filed Oct. 10, 1994 PCT Pub. No. WO95/10342 PCT Pub. Date Apr. 20, 1995The invention relates to a method of extracting water from the ambient air by condensation of air moisture, characterized in that a heat-insulating partition is cooled on one side and heated on the other side by external supply of energy, creating a natural convective air draft on the heated side of the partition, the convective air draft being channelled substantially like a chimney draft and used to recover part of the energy while water is extracted on the cooled side by condensation of air moisture. The invention further relates to an apparatus for carrying out said method. The object underlying the invention is to ensure an appropriate afflux of air and a high degree of efficiency by optimum exploitation of energy.",1
008-318-590-076-145,Alkyl-allylphosphonate copolymer used for boiler water treatment A water soluble isopropenylphosphonic acid copolymer composition and method of use thereof are disclosed. The copolymers are effective in inhibiting the precipitation of scale forming salts and also act to inhibit corrosion in boiler water systems.,1
088-059-177-877-019,"Apparatus and method for the treatment of water containing organic pollutants An apparatus and method for the treatment of contaminated water by biodegradation is provided. In particular, the apparatus and method are suited for the biodegradation of volatile organic compounds (VOC's) such as trichloroethylene and related compounds or benzene and related compounds. The process employs an immobilized soil bioreactor (ISBR) having a headspace re-circulation system.",1
001-469-352-678-822,"Solar powered water purifier A solar powered water purifier (1) having a main reservoir (2) for holding unpurified water (18), a collection tube (22) supported within the main reservoir and an inverted conical-shaped lid (11). The conical-shaped lid captures evaporated water from the main reservoir in the form of condensation and directs the condensation toward the collection tube for collection, which diverts water from to outside of the main reservoir for storage and/or use.",1
088-761-515-564-972,"System for area pollution control A system for collecting and purifying polluted air over a large geographic area where surface level water channels are used for rainfall drainage. The water channels are covered to render them air passages as well, and air jet engines draw the polluted air from the areas to a purifying station where debris is separated and the polluted air is passed to purifying units before being discharged from the station. The water channels may be covered to provide lineal parks or roadways for light traffic. Also, sewage passages may be incorporated in the system to provide greater area coverage and reduce noxious fumes.",1
007-656-159-555-160,"System and method for storing water in an underground reservoir and managing the same An underground water storage system has a system for preventing water invasion into the near surface soil layers, thereby preventing water intrusion which may be detrimental to desired surface uses for the land, such as agricultural, recreational, residential or commercial uses.",1
