pat_id,title,total_sentences,key_verbs,key_nouns,technical_terms,causal_words_and_terms,failure_terms,variable_terms,primary_failure_pathways,verb_action_pathways
EP-0034920-B1,WATER EVAPORATION PROCESS,6,"collect, give, support, characterise, base, boil, place, remove, flush, form, close, seal, correspond, fall, spread, alternate, hold, increase, condense, claim, decrease, constitute, adjust, constrain, carry, mean, serve","takeoff, surface, water, front, means, end, process, center, back, kg, contact, set, form, relationship, seal, top, heating, port, stack, energy, element, inlet, temperature, heat, film, liquid, hour, meter, noncondensable, product, holding, pressure, edge, exchange, bottom, air, area, solution, gas, δt, steam, evaporator, evaporation, operation, efficiency, claim, system, flow, difference, invention, supporting, control, bag, mean, outlet, leg",inlet,"corresponding to, while, increases, based on, because of, carry, remove",,temperature,No sentence-level triplet found,No verb-component-failure triplet found
EP-0044058-B1,MEANS AND METHOD FOR TREATING PROCESS AND EFFLUENT WATER IN PAPER MAKING AND RELATED INDUSTRIES,9,"give, produce, include, disperse, limit, remove, use, separate, circulate, show, find, dissolve, neutralize, follow, attribute, accord, relate, explain, characterize, achieve, mention, lead, deliver, suspect, carry, activate, extract","industry, comparison, structure, water, waste, manner, process, zeta, acid, action, way, practice, clay, mica, iron, alkali, property, ph, manufacturing, illite, result, shift, aluminum, type, product, agent, hydrobiotite, hydrophyllite, contaminant, purpose, weight, glauconite, vermiculite, treatment, earth, example, cycle, adsorption, adsorbent, filtration, potential, mineral, part, substance, invention, content, paper, one, combination, effect, activation, processing",,"thus, attributed to, effect of, therefore, because, lead to, activation of, results in, due to, important",contaminants,"nature, hand, clay",No sentence-level triplet found,No verb-component-failure triplet found
EP-0048427-B1,SLUDGE SUCTION VEHICLE,13,"interconnect, lower, secure, deposit, pump, characterise, free, place, flush, create, form, take, use, improve, separate, fall, show, accord, consist, cause, contain, mount, relate, return, calm, provide, sink, connect, mention, supply, suspend, dispose, lose, fix, reduce, lead, subject, extend, extract","surface, wall, region, water, change, front, arcuate, means, end, chain, solid, pump, suction, half, vehicle, process, flushing, shaft, compartment, place, gravity, separation, side, receptacle, proportion, energy, cross, inlet, nozzle, device, order, experience, type, reception, emptying, boiler, plurality, pressure, lid, load, purpose, curtain, bottom, service, area, bracket, investigation, connection, storage, sludge, amount, screen, pumping, accordance, blockage, container, sieve, supply, arrangement, part, operation, baffle, claim, filter, shape, invention, strand, tank, section, object, cover, surge, mean, outlet, introduction","joint, pump, inlet, nozzle, tank","leads to, therefore, common, disposed between, shape, used to, due to, via",blockage,lid,No sentence-level triplet found,No verb-component-failure triplet found
EP-0048428-B1,SEWER PIPE CLEANING VEHICLE,24,"open, underlie, lower, convey, characterise, signal, drain, accumulate, create, flush, interrupt, close, feed, take, suck, use, communicate, separate, fill, show, become, receive, discharge, excrete, affect, clean, accord, know, consist, associate, describe, contain, relate, arrange, explain, connect, provide, return, pass, purify, shut, work, mention, supply, dispose, comprise, subdivide, rinse, lead, empty, couple, allow, deliver, refill, switch, lie, fit, come, design, equip, carry, extend, indicate, precleane, serve","wall, filtrate, pump, process, space, drain, compartment, way, project, question, seal, personnel, problem, de, order, result, boiler, detector, cyclone, pass, supply, operating, position, system, condition, section, region, nen, vessel, solid, vehicle, flushing, cartridge, backwashing, time, liquid, possibility, output, sewer, hose, pressure, withdrawal, return, work, state, direction, part, backwash, description, tank, pipe, cover, jet, suction, valve, reservoir, vacuum, detail, top, cross, nozzle, device, service, self, sludge, stop, claim, filter, invention, outlet, rinsing, line, water, level, front, disadvantage, facility, cleaning, feed, port, entry, inlet, drawing, purpose, overpressure, bottom, source, head, connection, flap, example, container, sieve, arrangement, chamber, signaling, operation, connector, control","suction line, pump, return line, vessel, inlet, nozzle, valve, tank, reservoir, drain, chamber","underlying, while, therefore, as a result of, common, because, leading to, lead to, used to, receive, creating, via, affected, cannot be used",,,No sentence-level triplet found,No verb-component-failure triplet found
EP-0053250-B1,METHOD OF DEWATERING SEWAGE SLUDGE IN FILTER PRESSES,6,"collect, use, interfere, convey, dewatere, cause, save, generate, introduce","hand, mm, deposit, pump, process, salt, additive, gravity, ot, incrustation, lime, combustion, iron, press, device, temperature, aid, result, ventilation, piston, heat, plate, addition, membrane, sludge, capacity, steam, chamber, filtration, sewage, container, part, term, drainage, filter, content, electricity, spacing, step","filter press, chamber","caused by, as a result of, common, introduced into, used to",deposits,"hand, temperature",No sentence-level triplet found,No verb-component-failure triplet found
EP-0054572-B1,PROCESS AND DEVICE FOR CHECKING AND MAKING UP THE SALT SUPPLY IN WATER SOFTENERS,4,"miss, reduce, start, perform, fill, monitor, relate, increase, get, reach, assign, fail","food, consumption, surface, water, level, volume, salt, brine, reservoir, network, drink, device, result, time, situation, fitting, softener, cause, drinking, method, container, supply, operation, corrosion, rinse, invention, disturbance, pipe, taste","fittings, reservoir","thus, therefore, as a result, increases, due to, monitoring",corrosion,water level,"fittings ➔ [thus] ➔ corrosion (x1), fittings ➔ [as a result] ➔ corrosion (x1)","[FAIL] ➔ fittings ➔ corrosion (x1), [GET] ➔ fittings ➔ corrosion (x1), [REDUCE] ➔ fittings ➔ corrosion (x1)"
EP-0058225-B1,PRESSURIZED AERATION TANK FOR ACTIVATED-SLUDGE PROCESS SEWAGE TREATMENT,18,"make, define, include, observe, select, base, recirculate, modify, limit, drive, require, form, involve, bring, use, have, leave, circulate, discharge, result, find, re, dissolve, minimize, know, apply, disintegrate, arrange, realize, coagulate, hold, mount, increase, compare, prevent, ascertain, state, clarify, maintain, arise, attain, reduce, allow, decrease, utilize, rise, promote, float, come, design, moderate, activate, employ, mean, overflow","vo, velocity, pump, space, volume, chance, process, contact, opening, use, barrel, element, aerofoil, order, discharge, separator, portion, revolution, clearance, solubility, bend, irregularity, amount, resistance, size, circulation, efficiency, liquor, ratio, shear, system, flow, fluid, condition, requirement, mixing, path, reactivity, motor, surface, manner, counterflow, capability, diameter, form, vortex, prerequisite, rsistance, time, formation, pressure, factor, consideration, air, area, treatment, number, excess, weir, power, tank, support, side, naca, loss, top, proportion, nature, type, plate, fact, value, requisite, sludge, increase, sewage, circuit, götingen, improvement, passage, blade, invention, outlet, henry, conversion, structure, level, change, bod, contraction, characteristic, oxidation, nc, objective, action, aeration, treating, inlet, chart, microorganism, speed, range, purpose, removal, figure, connection, minimum, example, lift, arrangement, impeller, minute, maximum, component, law, effect, oxygen, mean, member","pump, inlet, valve, tank, weir, impeller","thereby, effect of, driven by, while, increases, based on, increase, may, arising from, because of, to prevent, dominant, is a prerequisite for, important","oxidation, cavitation",nature,"impeller ➔ [increase] ➔ cavitation (x1), inlet ➔ [increase] ➔ cavitation (x1), impeller ➔ [may] ➔ oxidation (x1)","[UTILIZE] ➔ impeller ➔ cavitation (x1), [UTILIZE] ➔ inlet ➔ cavitation (x1), [ACTIVATE] ➔ impeller ➔ oxidation (x1)"
EP-0058304-B1,A WATER-PURIFICATION UNIT WITH CONSTANT-FLOW VALVE,18,"obtain, start, locate, say, flush, drive, conduct, let, use, show, ensure, cool, accord, describe, arrange, relate, contain, characterize, connect, increase, provide, return, pass, achieve, verse, divide, do, sterilize, comprise, adapt, establish, flow, precede, exist, designate, prove","hand, consumption, water, driving, manner, pump, valve, drain, place, flushing, unit, side, way, heating, art, function, shutoff, pick, inlet, rest, conductivity, sterilization, intake, purification, result, input, meter, type, agent, principle, module, osmosis, pressure, purpose, branch, figure, return, example, accordance, point, arrangement, numeral, efficiency, claim, main, solenoid, system, flow, invention, parallel, control, pipe, design, outlet, motor","water intake, water purification unit, water main, pump, inlet, valve, drain, chamber, needle valve, solenoid valve","thus, therefore, as a result of, may, used to, via, cannot be used",,hand,No sentence-level triplet found,No verb-component-failure triplet found
EP-0060150-B1,REGENERATION CYCLE CONTROL SYSTEM IN A WATER CONDITIONER CONTROLLED BY A FLOW METER,6,"operate, start, include, say, set, drive, begin, take, use, have, rotate, become, show, determine, exit, treat, associate, arrange, characterize, provide, cooperate, pass, monitor, flow, predetermine, control, indicate","dial, consumption, water, conditioning, mechanism, start, regeneration, precision, manner, volume, indicator, wheel, place, shaft, drive, function, communication, train, inlet, orifice, input, meter, hour, reception, time, output, addition, softener, moment, cable, treatment, cycle, gear, supply, day, position, passage, system, flow, invention, fluid, control, tank, outlet, motor","water meter, inlet, tank","while, drives, driven by, becomes, associated with, due to, important",untreated water,,"tank ➔ [becomes] ➔ untreated water (x1), tank ➔ [important] ➔ untreated water (x1)","[BECOME] ➔ tank ➔ untreated water (x1), [BEGIN] ➔ tank ➔ untreated water (x1), [START] ➔ tank ➔ untreated water (x1)"
EP-0060193-B1,WATER TREATMENT DEVICE USING ELECTRICAL IMPULSES OF A VARIABLE CURRENT STRENGTH,6,"make, process, actuate, compose, display, form, measure, receive, discharge, consist, charge, trigger, mount, connect, supply, comprise, constitute, come, control","hand, frequency, signal, armature, flop, display, transformer, measurement, coupling, pulse, function, variation, envelope, discharge, counter, information, value, output, triac, generator, charge, trigger, branch, electrode, treatment, sensor, number, capacitor, conductor, cycle, state, chamber, circuit, direction, charging, diode, shape, series, flow, power, flip, mean","inlet, sensor, chamber, coupling","triggers, common, shape, via, is a function of",,hand,No sentence-level triplet found,No verb-component-failure triplet found
EP-0063236-B1,DEVICE FOR TREATING WASH WATERS WITH ION-EXCHANGERS,2,"convey, flow, get, show, see, treat","direction, detail, hand, line, gradient, module, slope, figure, pump, flow, arrow, material",pump,via,electrolysis,"hand, gradient",No sentence-level triplet found,No verb-component-failure triplet found
EP-0064279-B1,PROCESS AND APPARATUS FOR THE TREATMENT OF SLUDGE ORIGINATING FROM CHEMICAL PURIFICATION OF WASTE WATER,5,"mix, characterise, set, remove, form, involve, bring, separate, circulate, convert, clean, treat, accord, apply, contain, purify, introduce, supply, dispose, generate, add, extract","water, waste, sodium, process, pump, hydrogen, salt, disadvantage, reactor, na, acid, basin, station, vacuum, alcl, iron, flocculant, ph, hydroxide, purification, carbon, agent, reduction, value, time, carbonate, degasser, dioxide, pressure, removal, ca, sludge, example, solution, oh, sulphur, so, claim, al, naoh, precipitation, wastewater, mean, introduction","sedimentation basin, pump, basin","generated by, while, therefore, introduced into, brought about by, thereby",,"precipitation, hand",No sentence-level triplet found,No verb-component-failure triplet found
EP-0065332-B1,APPARATUS AND METHOD FOR THE CONCENTRATION OF A LIQUID BY EVAPORATION,19,"open, give, operate, make, locate, convey, pump, base, acquire, remove, form, drag, take, suck, separate, exert, sustain, entrain, treat, depend, suggest, provide, supply, maintain, suppress, allow, adapt, escape, flow, wash, occur, extend, serve","line, viscosity, wall, boiling, transfer, velocity, pellet, pump, end, tube, case, valve, place, apparatus, cleaning, unit, side, concentration, mixture, opening, care, use, recirculation, function, vapour, ejector, inlet, riser, discharge, result, instance, scouring, force, film, heat, liquid, collection, plate, conduit, edge, exchanger, load, purpose, granule, cyclone, bottom, method, connection, return, mass, point, chamber, supply, circulation, evaporation, operation, part, distribution, baffle, rise, passage, escape, system, invention, fluidization, condition, fluid, tank, object, effect, momentum, outlet","conduit, discharge line, ejector, pump, heat exchanger, inlet, riser, tank, valve, chamber","thus, effect of, as a result, as a result of, based on, may, gives rise to, via, important, thereby",scouring,,No sentence-level triplet found,No verb-component-failure triplet found
EP-0066716-B1,A METHOD AND A SYSTEM FOR DETECTING A LEAKAGE IN A CONDUIT SYSTEM,46,"open, drain, set, create, seal, use, correspond, function, receive, result, presume, know, permit, position, survey, adapt, establish, flow, tighten, repair, make, locate, detect, base, distinguish, limit, require, form, conduct, close, continue, prefer, contain, provide, mention, reduce, comprise, occur, conclude, operate, define, say, have, show, discover, move, accord, connect, increase, choose, shut, escape, react, predetermine, indicate, render, obtain, include, bias, surround, interrupt, avoid, exceed, take, desire, refer, cause, arrange, sprinkle, prevent, evaluate, transmit, penetrate, correct, control, generate, put, activate","wall, distance, space, volume, effect, drain, car, way, question, risk, basis, opening, explosion, measure, intensity, order, portion, detector, shoulder, criterion, supply, family, corrosion, position, system, flow, timer, fluid, condition, hall, computer, activation, transmittal, surface, sensitivity, none, seat, diameter, form, damage, inspection, variation, plane, piston, time, liquid, conduit, situation, pressure, movement, light, area, return, number, breaking, conductor, house, affirmative, direction, part, circumstance, rate, elasticity, relay, cylinder, valve, case, unit, loss, synonym, lawn, stub, device, sound, hour, type, leak, location, value, specification, moisture, periphery, reed, engagement, sensor, spring, period, groove, microcomputer, passage, drainage, escape, combination, extent, invention, bore, drop, outlet, line, water, weekend, change, bias, means, break, signal, duration, surrounding, breakage, action, leakage, art, night, washing, magnet, communication, inlet, temperature, alarm, prior, source, connection, person, example, fig, interval, gas, detection, day, operation, term, closure, apartment, control, plant, mean, step, member","conduit, inlet, sensor, valve, drain, bore","break, results in, due to, exceeding, thereby, while, requires, may, activation of, receive, via, to prevent, based on, because of, comprise, caused by, therefore, because, is caused by, causes, important","corrosion, leak, leak detection, breakage, leaks, leakage",temperature,"conduit ➔ [may] ➔ leakage (x5), conduit ➔ [may] ➔ leak (x2), conduit ➔ [because] ➔ breakage (x2)","[DRAIN] ➔ conduit ➔ leak (x3), [CONDUCT] ➔ conduit ➔ leakage (x2), [DISCOVER] ➔ conduit ➔ leakage (x2)"
